Table 11: Ablation Results,,,,,,,,,,
,Modelvariants,Sensitivity,G-mean,Class-bal. acc.,Confusion entropy,,,,,
RF,CLEAR-GAN,0.818,0.884,0.865,0.111,,,,,
RF,OCSVM+Tomek,0.713,0.756,0.81,0.109,,,,,
RF,CTGAN,0.792,0.544,0.792,0.216,,,,,
LSTM,CLEAR-GAN,0.858,0.851,0.857,0.26,,,,,
LSTM,OCSVM+Tomek,0.782,0.761,0.81,0.109,,,,,
LSTM,CTGAN,0.757,0.752,0.758,0.316,,,,,
,,,,,,,,,,
Table 5: Proprietary dataset results (RF + LSTM),,,,,,,,,,
,Metric,Baseline,SMOTE,CTGAN,NB-Tomek,MDO,MC-MBRC,NaNDS,A-SUWO,CLEAR-GAN
RF,Mean sensitivity,0.701,0.767,0.792,0.656,0.694,0.726,0.886,0.681,0.818
,G-mean,0.382,0.52,0.544,0.697,0.811,0.82,0.852,0.729,0.884
,Classbal. acc.,0.685,0.783,0.792,0.81,0.705,0.756,0.865,0.698,0.865
,Confusion entropy,0.289,0.365,0.216,0.3,0.29,0.27,0.112,0.41,0.111
LSTM,Mean sensitivity,0.712,0.738,0.757,0.782,0.713,0.805,0.848,0.698,0.858
,G-mean,0.488,0.688,0.752,0.761,0.789,0.876,0.858,0.765,0.851
,Classbal. acc.,0.732,0.751,0.758,0.832,0.708,0.777,0.806,0.702,0.858
,Confusion entropy,0.316,0.376,0.346,0.11,0.284,0.301,0.256,0.362,0.26
,,,,,,,,,,
Table 6: Public multiclass datasets results (G-mean),,,,,,,,,,
RF,Dataset,Baseline,SMOTE,CTGAN,NB-Tomek,MDO,MC-MBRC,NaNDS,A-SUWO,CLEAR-GAN
,Stud1,0.447,0.59,0.595,0.712,0.896,0.879,0.896,0.881,0.885
,Stud2,0.403,0.431,0.428,0.748,0.814,0.793,0.809,0.798,0.818
,Win,0.586,0.7,0.664,0.8,0.655,0.839,0.826,0.687,0.839
,Stud3,0.521,0.56,0.556,0.753,0.78,0.784,0.887,0.798,0.87
,Car,0.568,0.688,0.702,0.736,0.778,0.802,0.896,0.768,0.896
,Abal,0.624,0.712,0.738,0.782,0.788,0.826,0.879,0.8,0.901
LSTM,Stud1,0.465,0.623,0.628,0.788,0.84,0.856,0.87,0.809,0.864
,Stud2,0.449,0.556,0.589,0.72,0.758,0.784,0.817,0.701,0.829
,Win,0.6,0.708,0.689,0.798,0.761,0.842,0.808,0.713,0.837
,Stud3,0.506,0.559,0.547,0.668,0.697,0.7,0.788,0.714,0.789
,Car,0.55,0.697,0.678,0.73,0.78,0.798,0.858,0.761,0.883
,Abal,0.619,0.735,0.743,0.786,0.784,0.831,0.886,0.788,0.894
,,,,,,,,,,
Table 7: Public multiclass datasets results (mean sensitivity),,,,,,,,,,
RF,Dataset,Baseline,SMOTE,CTGAN,NB-Tomek,MDO,MC-MBRC,NaNDS,A-SUWO,CLEAR-GAN
,Stud1,0.781,0.812,0.822,0.868,0.842,0.825,0.883,0.805,0.892
,Stud2,0.68,0.704,0.695,0.774,0.711,0.696,0.854,0.689,0.792
,Win,0.802,0.87,0.847,0.88,0.852,0.718,0.904,0.768,0.906
,Stud3,0.69,0.702,0.697,0.702,0.702,0.714,0.908,0.721,0.813
,Car,0.649,0.72,0.688,0.742,0.748,0.757,0.903,0.813,0.918
,Abal,0.721,0.763,0.771,0.794,0.797,0.813,0.923,0.822,0.931
LSTM,Stud1,0.558,0.694,0.723,0.812,0.828,0.802,0.878,0.788,0.873
,Stud2,0.62,0.638,0.689,0.76,0.781,0.721,0.823,0.725,0.834
,Win,0.707,0.756,0.747,0.808,0.8,0.85,0.81,0.792,0.892
,Stud3,0.685,0.698,0.673,0.7,0.697,0.708,0.888,0.718,0.869
,Car,0.65,0.708,0.701,0.763,0.75,0.764,0.908,0.8,0.883
,Abal,0.718,0.739,0.742,0.786,0.784,0.831,0.886,0.788,0.894
,,,,,,,,,,
Table 8: Public multiclass datasets results (class-balanced accuracy),,,,,,,,,,
RF,Dataset,Baseline,SMOTE,CTGAN,NB-Tomek,MDO,MC-MBRC,NaNDS,A-SUWO,CLEAR-GAN
,Stud1,0.79,0.83,0.837,0.843,0.842,0.825,0.89,0.825,0.894
,Stud2,0.681,0.787,0.698,0.77,0.711,0.776,0.905,0.786,0.807
,Win,0.81,0.875,0.856,0.861,0.821,0.718,0.907,0.846,0.91
,Stud3,0.697,0.702,0.705,0.687,0.702,0.714,0.897,0.718,0.833
,Car,0.645,0.717,0.688,0.74,0.744,0.756,0.902,0.802,0.907
,Abal,0.702,0.755,0.768,0.797,0.792,0.802,0.915,0.812,0.913
LSTM,Stud1,0.465,0.678,0.686,0.794,0.787,0.81,0.856,0.791,0.868
,Stud2,0.453,0.612,0.662,0.720,0.758,0.820,0.817,0.701,0.801
,Win,0.660,0.780,0.785,0.798,0.803,0.772,0.854,0.799,0.886
,Stud3,0.654,0.682,0.679,0.645,0.700,0.691,0.721,0.700,0.721
,Car,0.650,0.701,0.697,0.761,0.750,0.764,0.904,0.790,0.904
,Abal,0.714,0.755,0.760,0.805,0.831,0.820,0.908,0.820,0.911
,,,,,,,,,,
Table 9: Public multiclass datasets results (confusion entropy),,,,,,,,,,
RF,Dataset,Baseline,SMOTE,CTGAN,NB-Tomek,MDO,MC-MBRC,NaNDS,A-SUWO,CLEAR-GAN
,Stud1,0.201,0.21,0.195,0.21,0.183,0.162,0.054,0.182,0.054
,Stud2,0.32,0.34,0.301,0.326,0.257,0.253,0.087,0.268,0.127
,Win,0.163,0.142,0.138,0.14,0.116,0.112,0.043,0.123,0.037
